;Single acting cylinder;Single acting cylinder;Pressure at Rod end;Pressure at cap end
;PIston ;PIston ;Pressure at rod end ;Pressure at Cap end
t;x;v;p;p
[s];[mm];[m/s];[bar];[bar]
5.15;134.77355;-0.00906;0.86176;0.99966
5.16;134.68297;-0.00906;0.86176;0.99966
5.17;134.59239;-0.00906;0.86176;0.99966
5.18;134.50181;-0.00906;0.86176;0.99966
5.19;134.41123;-0.00906;0.86176;0.99966
5.20;134.32065;-0.00906;0.86176;0.99966
5.21;134.23007;-0.00906;0.86176;0.99966
5.22;134.13949;-0.00906;0.86176;0.99966
5.23;134.04891;-0.00906;0.86176;0.99966
5.24;133.95833;-0.00906;0.86176;0.99966
5.25;133.86774;-0.00906;0.86176;0.99966
5.26;133.77716;-0.00906;0.86176;0.99966
5.27;133.68658;-0.00906;0.86176;0.99966
5.28;133.59600;-0.00906;0.86176;0.99966
5.29;133.50542;-0.00906;0.86176;0.99966
5.30;133.41484;-0.00906;0.86176;0.99966
5.31;133.32426;-0.00906;0.86176;0.99966
5.32;133.23368;-0.00906;0.86176;0.99966
5.33;133.14310;-0.00906;0.86176;0.99966
5.34;133.05252;-0.00906;0.86176;0.99966
5.35;132.96194;-0.00906;0.86176;0.99966
5.36;132.87136;-0.00906;0.86176;0.99966
5.37;132.78078;-0.00906;0.86176;0.99966
5.38;132.69020;-0.00906;0.86176;0.99966
5.39;132.59962;-0.00906;0.86176;0.99966
5.40;132.50904;-0.00906;0.86176;0.99966
5.41;132.41846;-0.00906;0.86176;0.99966
5.42;132.32788;-0.00906;0.86176;0.99966
5.43;132.23730;-0.00906;0.86176;0.99966
5.44;132.14671;-0.00906;0.86176;0.99966
5.45;132.05613;-0.00906;0.86176;0.99966
5.46;131.96555;-0.00906;0.86176;0.99966
5.47;131.87497;-0.00906;0.86176;0.99966
5.48;131.78439;-0.00906;0.86176;0.99966
5.49;131.69381;-0.00906;0.86176;0.99966
5.50;131.60323;-0.00906;0.86176;0.99966
5.51;131.51265;-0.00906;0.86176;0.99966
5.52;131.42207;-0.00906;0.86176;0.99966
5.53;131.33149;-0.00906;0.86176;0.99966
5.54;131.24091;-0.00906;0.86176;0.99966
5.55;131.15033;-0.00906;0.86176;0.99966
5.56;131.05975;-0.00906;0.86176;0.99966
5.57;130.96917;-0.00906;0.86176;0.99966
5.58;130.87859;-0.00906;0.86176;0.99966
5.59;130.78801;-0.00906;0.86176;0.99966
5.60;130.69743;-0.00906;0.86176;0.99966
5.61;130.60685;-0.00906;0.86176;0.99966
5.62;130.51627;-0.00906;0.86176;0.99966
5.63;130.42569;-0.00906;0.86176;0.99966
5.64;130.33511;-0.00906;0.86176;0.99966
5.65;130.24453;-0.00906;0.86176;0.99966
5.66;130.15395;-0.00906;0.86176;0.99966
5.67;130.06337;-0.00906;0.86176;0.99966
5.68;129.97279;-0.00906;0.86176;0.99966
5.69;129.88221;-0.00906;0.86176;0.99966
5.70;129.79163;-0.00906;0.86176;0.99966
5.71;129.70105;-0.00906;0.86176;0.99966
5.72;129.61047;-0.00906;0.86176;0.99966
5.73;129.51989;-0.00906;0.86176;0.99966
5.74;129.42931;-0.00906;0.86176;0.99966
5.75;129.33873;-0.00906;0.86176;0.99966
5.76;129.24815;-0.00906;0.86176;0.99966
5.77;129.15757;-0.00906;0.86176;0.99966
5.78;129.06698;-0.00906;0.86176;0.99966
5.79;128.97640;-0.00906;0.86176;0.99966
5.80;128.88582;-0.00906;0.86176;0.99966
5.81;128.79524;-0.00906;0.86176;0.99966
5.82;128.70466;-0.00906;0.86176;0.99966
5.83;128.61408;-0.00906;0.86176;0.99966
5.84;128.52350;-0.00906;0.86176;0.99966
5.85;128.43292;-0.00906;0.86176;0.99966
5.86;128.34234;-0.00906;0.86176;0.99966
5.87;128.25176;-0.00906;0.86176;0.99966
5.88;128.16118;-0.00906;0.86176;0.99966
5.89;128.07060;-0.00906;0.86176;0.99966
5.90;127.98002;-0.00906;0.86176;0.99966
5.91;127.88944;-0.00906;0.86176;0.99966
5.92;127.79886;-0.00906;0.86176;0.99966
5.93;127.70828;-0.00906;0.86176;0.99966
5.94;127.61770;-0.00906;0.86176;0.99966
5.95;127.52712;-0.00906;0.86176;0.99966
5.96;127.43654;-0.00906;0.86176;0.99966
5.97;127.34596;-0.00906;0.86176;0.99966
5.98;127.25538;-0.00906;0.86176;0.99966
5.99;127.16479;-0.00906;0.86176;0.99966
6.00;127.07421;-0.00906;0.86176;0.99966
6.01;126.98363;-0.00906;0.86176;0.99966
6.02;126.89305;-0.00906;0.86176;0.99966
6.03;126.80247;-0.00906;0.86176;0.99966
6.04;126.71189;-0.00906;0.86176;0.99966
6.05;126.62131;-0.00906;0.86176;0.99966
6.06;126.53073;-0.00906;0.86176;0.99966
6.07;126.44015;-0.00906;0.86176;0.99966
6.08;126.34957;-0.00906;0.86176;0.99966
6.09;126.25899;-0.00906;0.86176;0.99966
6.10;126.16841;-0.00906;0.86176;0.99966
6.11;126.07783;-0.00906;0.86176;0.99966
6.12;125.98725;-0.00906;0.86176;0.99966
6.13;125.89667;-0.00906;0.86176;0.99966
6.14;125.80609;-0.00906;0.86176;0.99966
6.15;125.71551;-0.00906;0.86176;0.99966
6.16;125.62493;-0.00906;0.86176;0.99966
6.17;125.53435;-0.00906;0.86176;0.99966
6.18;125.44377;-0.00906;0.86176;0.99966
6.19;125.35319;-0.00906;0.86176;0.99966
6.20;125.26261;-0.00906;0.86176;0.99966
6.21;125.17203;-0.00906;0.86176;0.99966
6.22;125.08145;-0.00906;0.86176;0.99966
6.23;124.99087;-0.00906;0.86176;0.99966
6.24;124.90029;-0.00906;0.86176;0.99966
6.25;124.80971;-0.00906;0.86176;0.99966
6.26;124.71913;-0.00906;0.86176;0.99966
6.27;124.62855;-0.00906;0.86176;0.99966
6.28;124.53797;-0.00906;0.86176;0.99966
6.29;124.44738;-0.00906;0.86176;0.99966
6.30;124.35680;-0.00906;0.86176;0.99966
6.31;124.26622;-0.00906;0.86176;0.99966
6.32;124.17564;-0.00906;0.86176;0.99966
6.33;124.08506;-0.00906;0.86176;0.99966
6.34;123.99448;-0.00906;0.86176;0.99966
6.35;123.90390;-0.00906;0.86176;0.99966
6.36;123.81332;-0.00906;0.86176;0.99966
6.37;123.72274;-0.00906;0.86176;0.99966
6.38;123.63216;-0.00906;0.86176;0.99966
6.39;123.54158;-0.00906;0.86176;0.99966
6.40;123.45100;-0.00906;0.86176;0.99966
6.41;123.36042;-0.00906;0.86176;0.99966
6.42;123.26984;-0.00906;0.86176;0.99966
6.43;123.17926;-0.00906;0.86176;0.99966
6.44;123.08868;-0.00906;0.86176;0.99966
6.45;122.99810;-0.00906;0.86176;0.99966
6.46;122.90751;-0.00906;0.86176;0.99966
6.47;122.81693;-0.00906;0.86176;0.99966
6.48;122.72635;-0.00906;0.86176;0.99966
6.49;122.63577;-0.00906;0.86176;0.99966
6.50;122.54519;-0.00906;0.86176;0.99966
6.51;122.45461;-0.00906;0.86176;0.99966
6.52;122.36403;-0.00906;0.86176;0.99966
6.53;122.27345;-0.00906;0.86176;0.99966
6.54;122.18287;-0.00906;0.86176;0.99966
6.55;122.09229;-0.00906;0.86176;0.99966
6.56;122.00171;-0.00906;0.86176;0.99966
6.57;121.91113;-0.00906;0.86176;0.99966
6.58;121.82055;-0.00906;0.86176;0.99966
6.59;121.72997;-0.00906;0.86176;0.99966
6.60;121.63939;-0.00906;0.86176;0.99966
6.61;121.54881;-0.00906;0.86176;0.99966
6.62;121.45823;-0.00906;0.86176;0.99966
6.63;121.36765;-0.00906;0.86176;0.99966
6.64;121.27707;-0.00906;0.86176;0.99966
6.65;121.18649;-0.00906;0.86176;0.99966
6.66;121.09591;-0.00906;0.86176;0.99966
6.67;121.00533;-0.00906;0.86176;0.99966
6.68;120.91475;-0.00906;0.86176;0.99966
6.69;120.82417;-0.00906;0.86176;0.99966
6.70;120.73358;-0.00906;0.86176;0.99966
6.71;120.64300;-0.00906;0.86176;0.99966
6.72;120.55242;-0.00906;0.86176;0.99966
6.73;120.46184;-0.00906;0.86176;0.99966
6.74;120.37126;-0.00906;0.86176;0.99966
6.75;120.28068;-0.00906;0.86176;0.99966
6.76;120.19010;-0.00906;0.86176;0.99966
6.77;120.09952;-0.00906;0.86176;0.99966
6.78;120.00894;-0.00906;0.86176;0.99966
6.79;119.91836;-0.00906;0.86176;0.99966
6.80;119.82778;-0.00906;0.86176;0.99966
6.81;119.73720;-0.00906;0.86176;0.99966
6.82;119.64662;-0.00906;0.86176;0.99966
6.83;119.55604;-0.00906;0.86176;0.99966
6.84;119.46546;-0.00906;0.86176;0.99966
6.85;119.37488;-0.00906;0.86176;0.99966
6.86;119.28430;-0.00906;0.86176;0.99966
6.87;119.19372;-0.00906;0.86176;0.99966
6.88;119.10314;-0.00906;0.86176;0.99966
6.89;119.01255;-0.00906;0.86176;0.99966
6.90;118.92197;-0.00906;0.86176;0.99966
6.91;118.83139;-0.00906;0.86176;0.99966
6.92;118.74081;-0.00906;0.86176;0.99966
6.93;118.65023;-0.00906;0.86176;0.99966
6.94;118.55965;-0.00906;0.86176;0.99966
6.95;118.46907;-0.00906;0.86176;0.99966
6.96;118.37849;-0.00906;0.86176;0.99966
6.97;118.28791;-0.00906;0.86176;0.99966
6.98;118.19733;-0.00906;0.86176;0.99966
6.99;118.10675;-0.00906;0.86176;0.99966
7.00;118.01617;-0.00906;0.86176;0.99966
7.01;117.92558;-0.00906;0.86176;0.99966
7.02;117.83500;-0.00906;0.86176;0.99966
7.03;117.74442;-0.00906;0.86176;0.99966
7.04;117.65384;-0.00906;0.86176;0.99966
7.05;117.56326;-0.00906;0.86176;0.99966
7.06;117.47268;-0.00906;0.86176;0.99966
7.07;117.38210;-0.00906;0.86176;0.99966
7.08;117.29152;-0.00906;0.86176;0.99966
7.09;117.20094;-0.00906;0.86176;0.99966
7.10;117.11036;-0.00906;0.86176;0.99966
7.11;117.01978;-0.00906;0.86176;0.99966
7.12;116.92920;-0.00906;0.86176;0.99966
7.13;116.83862;-0.00906;0.86176;0.99966
7.14;116.74804;-0.00906;0.86176;0.99966
7.15;116.65746;-0.00906;0.86176;0.99966
7.16;116.56688;-0.00906;0.86176;0.99966
7.17;116.47630;-0.00906;0.86176;0.99966
7.18;116.38571;-0.00906;0.86176;0.99966
7.19;116.29513;-0.00906;0.86176;0.99966
